uid,uname,utype,uphone,uprovince,ucity,uaddress,uidcard
U001,张三,普通用户,13800138001,北京市,北京市,朝阳区建国路88号,110101199001011234
U002,李四,商家用户,13700138002,上海市,上海市,浦东新区世纪大道100号,310115199002022345
U003,王五,普通用户,13800138003,广东省,广州市,天河区体育西路200号,440106199003033456
U004,赵六,普通用户,13800138004,广东省,深圳市,南山区科技园南路300号,440305199004044567
U005,钱七,商家用户,13800138005,浙江省,杭州市,西湖区文三路50号,330106199005055678
U006,孙八,普通用户,13800138006,江苏省,南京市,玄武区中山路120号,320102199006066789
U007,周九,快递员,13800138007,北京市,北京市,朝阳区朝阳北路88号,110105199007077890
U008,吴十,快递员,13800138008,上海市,上海市,浦东新区浦东大道128号,310115199008088901
U009,郑十一,普通用户,13800138009,四川省,成都市,武侯区科华北路66号,510107199009099012
U010,陈十二,商家用户,13800138010,湖北省,武汉市,武昌区中南路88号,420106199010101123
U011,林小美,普通用户,13800138011,福建省,厦门市,思明区鹭江道100号,350203199101011234
U012,黄大强,普通用户,13800138012,山东省,青岛市,市南区香港中路50号,370202199102022345
U013,刘经理,商家用户,13800138013,天津市,天津市,和平区南京路188号,120101199103033456
U014,杨快递,快递员,13800138014,广东省,广州市,天河区天河路200号,440106199104044567
U015,张配送,快递员,13800138015,浙江省,杭州市,西湖区西湖文化广场1号,330106199105055678
